variable,description,variable_type,summary,summary for the subset,variable used in persistent leanness
subject_id,subject id represents the real id of each participant; meaning that in the dataset; the id is repeated for each visit; so out of 168330 entries; there are only 111505 unique ids,D,,,
enummer,the enummer is a unique id of each entry; so there are as much unique enummer as there are entries; so 168330,D,,,
gender,,D,1 : 81021 ; 2 : 87309 ; missing values : 0,1 : 31752 ; 2 : 37238 ; missing values : 0,Y
delproj,all values are VIP except one missing value for subject id 3956;enummer 13360,D,,,
age,,C,mean : 48.56 ; min : 19.4 ; max : 70.8 ; sd : 9.12; missing values : 1,mean : 47.97 ; min : 28.3 ; max : 70.8 ; sd : 8.45; missing values : 0,Y
fasta_enk,Fasting state – concerns blood glucose; cholesterol and triglycerides. (The variable is from the questionnaire and is only available for optical questionnaires in VIP.); 1 = 8 hours or more; 2 = less than eight hours,D,1 : 144442 ; 2 : 3717 ; missing values : 20171,1 : 62332 ; 2 : 1799 ; missing values : 4859,N
langd,Body height in centimeters,C,mean : 171.46 ; min : 84 ; max : 208 ; sd : 9.36; missing values : 278,mean : 171.54 , min : 130 , max : 204 , sd : 9.19, missing values : 101,N
vikt,Weight in kilograms,C,mean : 76.8 ; min : 26 ; max : 205 ; sd : 15.13; missing values : 376,mean : 75.61 , min : 37 , max : 192 , sd : 14.16, missing values : 141,Y
bmi,Body mass index – weight in kg/(height in m)²    (Calculated from langd and vikt),C,mean : 26.06 ; min : 7.2 ; max : 236.31 ; sd : 4.49; missing values : 428,mean : 25.61 , min : 15.21 , max : 69.9 , sd : 3.89, missing values : 161,Y
midja,Waist circumference in centimeters,C,mean : 91.86 ; min : 0 ; max : 197 ; sd : 13; missing values : 87164,mean : 91.15 , min : 60 , max : 160 , sd : 11.93, missing values : 39560,N
skol,Total cholesterol mmol/l. *,C,mean : 5.56 ; min : 0 ; max : 21.03 ; sd : 1.15; missing values : 946,mean : 1.4 , min : 0.15 , max : 7 , sd : 0.49, missing values : 42705,N
hdl,Hdl cholesterol mmol/l,C,mean : 1.42 ; min : 0 ; max : 41 ; sd : 0.85; missing values : 88168,mean : 1.37 , min : 0.8 , max : 18.97 , sd : 0.75, missing values : 7898,N
ldl,Ldl cholesterol mmol/l ,C,mean : 3.56 ; min : 0 ; max : 9.99 ; sd : 1.05; missing values : 111029,mean : 5.48 , min : 0.5 , max : 14.98 , sd : 1.09, missing values : 245,N
stg,Triglycerides mmol/l. *,C,mean : 1.36 ; min : 0 ; max : 29 ; sd : 0.85; missing values : 14703,mean : 3.79 , min : 0 , max : 10.92 , sd : 1.12, missing values : 42542,N
